,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-7.94944E-03,-5.52000E+00,5.04000E+00,6.40000E-01,8.00000E-02
-7.94744E-03,-5.60000E+00,5.04000E+00,6.40000E-01,0.00000E+00
-7.94544E-03,-5.60000E+00,5.04000E+00,7.20000E-01,0.00000E+00
-7.94344E-03,-5.52000E+00,5.04000E+00,7.20000E-01,0.00000E+00
-7.94144E-03,-5.52000E+00,5.04000E+00,7.20000E-01,8.00000E-02
-7.93944E-03,-5.52000E+00,4.96000E+00,8.00000E-01,0.00000E+00
-7.93744E-03,-5.52000E+00,4.96000E+00,8.00000E-01,-8.00000E-02
-7.93544E-03,-5.44000E+00,4.96000E+00,8.00000E-01,0.00000E+00
-7.93344E-03,-5.44000E+00,4.88000E+00,8.00000E-01,0.00000E+00
-7.93144E-03,-5.44000E+00,4.88000E+00,8.00000E-01,0.00000E+00
-7.92944E-03,-5.44000E+00,4.88000E+00,8.00000E-01,0.00000E+00
-7.92744E-03,-5.44000E+00,4.80000E+00,8.80000E-01,0.00000E+00
-7.92544E-03,-5.44000E+00,4.80000E+00,8.80000E-01,0.00000E+00
-7.92344E-03,-5.44000E+00,4.80000E+00,8.80000E-01,0.00000E+00
-7.92144E-03,-5.44000E+00,4.80000E+00,9.60000E-01,0.00000E+00
-7.91944E-03,-5.44000E+00,4.80000E+00,9.60000E-01,0.00000E+00
-7.91744E-03,-5.44000E+00,4.80000E+00,1.04000E+00,5.12000E+00
-7.91544E-03,-5.44000E+00,4.80000E+00,1.04000E+00,5.12000E+00
-7.91344E-03,-5.44000E+00,4.80000E+00,1.04000E+00,0.00000E+00
-7.91144E-03,-5.36000E+00,4.80000E+00,1.04000E+00,0.00000E+00
-7.90944E-03,-5.36000E+00,4.72000E+00,1.12000E+00,0.00000E+00
-7.90744E-03,-5.36000E+00,4.72000E+00,1.12000E+00,0.00000E+00
-7.90544E-03,-5.36000E+00,4.72000E+00,1.12000E+00,0.00000E+00
-7.90344E-03,-5.36000E+00,4.72000E+00,1.12000E+00,0.00000E+00
-7.90144E-03,-5.36000E+00,4.64000E+00,1.12000E+00,0.00000E+00
-7.89944E-03,-5.28000E+00,4.64000E+00,1.12000E+00,0.00000E+00
-7.89744E-03,-5.28000E+00,4.64000E+00,1.20000E+00,0.00000E+00
-7.89544E-03,-5.28000E+00,4.64000E+00,1.20000E+00,0.00000E+00
-7.89344E-03,-5.28000E+00,4.56000E+00,1.28000E+00,0.00000E+00
-7.89144E-03,-5.28000E+00,4.56000E+00,1.28000E+00,0.00000E+00
-7.88944E-03,-5.28000E+00,4.56000E+00,1.36000E+00,0.00000E+00
-7.88744E-03,-5.20000E+00,4.56000E+00,1.36000E+00,0.00000E+00
-7.88544E-03,-5.28000E+00,4.48000E+00,1.36000E+00,0.00000E+00
-7.88344E-03,-5.20000E+00,4.48000E+00,1.36000E+00,0.00000E+00
-7.88144E-03,-5.20000E+00,4.48000E+00,1.44000E+00,0.00000E+00
-7.87944E-03,-5.20000E+00,4.48000E+00,1.44000E+00,0.00000E+00
-7.87744E-03,-5.20000E+00,4.40000E+00,1.44000E+00,0.00000E+00
-7.87544E-03,-5.20000E+00,4.40000E+00,1.44000E+00,0.00000E+00
-7.87344E-03,-5.20000E+00,4.40000E+00,1.52000E+00,0.00000E+00
-7.87144E-03,-5.20000E+00,4.32000E+00,1.60000E+00,0.00000E+00
-7.86944E-03,-5.20000E+00,4.32000E+00,1.60000E+00,0.00000E+00
-7.86744E-03,-5.20000E+00,4.24000E+00,1.68000E+00,0.00000E+00
